users,pair,weight
true_solidarity,bilderberg-nexrad,1
true_solidarity,bilderberg-uk,2
true_solidarity,bilderberg-weathermanipulation,1
true_solidarity,bilderberg-weather,2
true_solidarity,bilderberg-nasa,2
true_solidarity,bilderberg-nwo,2
true_solidarity,bilderberg-obama,2
true_solidarity,bilderberg-drought,1
true_solidarity,bilderberg-poison,1
true_solidarity,bilderberg-news,1
true_solidarity,bilderberg-monsanto,1
true_solidarity,bilderberg-gmo,2
true_solidarity,bilderberg-infowars,2
true_solidarity,bilderberg-snow,2
true_solidarity,bilderberg-fluoride,2
true_solidarity,bilderberg-snowden,1
true_solidarity,bilderberg-climate,2
true_solidarity,bilderberg-globalwarming,2
true_solidarity,bilderberg-weathermodification,2
true_solidarity,bilderberg-clouds,1
true_solidarity,bilderberg-energy,2
true_solidarity,bilderberg-cia,2
true_solidarity,bilderberg-usa,1
true_solidarity,bilderberg-conspiracy,1
true_solidarity,bilderberg-manmadeclouds,2
true_solidarity,bilderberg-green,1
true_solidarity,bilderberg-truth,2
true_solidarity,bilderberg-nsa,2
true_solidarity,bilderberg-revolution,2
true_solidarity,bilderberg-government,1
true_solidarity,bilderberg-fracking,2
true_solidarity,bilderberg-lookup,1
true_solidarity,bilderberg-science,2
true_solidarity,bilderberg-tech,2
true_solidarity,bilderberg-srm,2
true_solidarity,bilderberg-solar,1
true_solidarity,bilderberg-contrails,2
true_solidarity,bilderberg-chemtrail,2
true_solidarity,bilderberg-usaf,1
true_solidarity,bilderberg-illuminati,1
true_solidarity,bilderberg-greatlakes,2
true_solidarity,bilderberg-depopulation,1
true_solidarity,bilderberg-fukushima,1
true_solidarity,drought-sun,1
true_solidarity,drought-sunset,1
true_solidarity,drought-geoengineering,1
true_solidarity,drought-haarp,1
true_solidarity,drought-nexrad,1
true_solidarity,drought-uk,1
true_solidarity,drought-weathermanipulation,1
true_solidarity,drought-weather,1
true_solidarity,drought-nasa,1
true_solidarity,drought-nwo,1
true_solidarity,drought-obama,1
true_solidarity,drought-poison,1
true_solidarity,drought-news,1
true_solidarity,drought-monsanto,1
true_solidarity,drought-gmo,1
true_solidarity,drought-infowars,1
true_solidarity,drought-snow,1
true_solidarity,drought-fluoride,1
true_solidarity,drought-snowden,1
true_solidarity,drought-globalwarming,1
true_solidarity,drought-weathermodification,1
true_solidarity,drought-energy,1
true_solidarity,drought-usa,1
true_solidarity,drought-manmadeclouds,1
true_solidarity,drought-green,1
true_solidarity,drought-truth,1
true_solidarity,drought-nsa,1
true_solidarity,drought-revolution,1
true_solidarity,drought-government,1
true_solidarity,drought-fracking,1
true_solidarity,drought-lookup,1
true_solidarity,drought-science,1
true_solidarity,drought-tech,1
true_solidarity,drought-srm,1
true_solidarity,drought-solar,1
true_solidarity,drought-usaf,1
true_solidarity,drought-illuminati,1
true_solidarity,drought-greatlakes,1
true_solidarity,drought-fukushima,1
true_solidarity,poison-sun,1
true_solidarity,poison-sunset,1
true_solidarity,poison-uk,1
true_solidarity,poison-weathermanipulation,1
true_solidarity,poison-weather,1
true_solidarity,poison-snow,1
true_solidarity,poison-snowden,1
true_solidarity,poison-weathermodification,1
true_solidarity,poison-usa,1
true_solidarity,poison-truth,1
true_solidarity,poison-revolution,1
true_solidarity,poison-science,1
true_solidarity,poison-tech,1
true_solidarity,poison-srm,1
true_solidarity,poison-solar,1
true_solidarity,poison-usaf,1
true_solidarity,news-sun,1
true_solidarity,news-sunset,1
true_solidarity,news-nexrad,1
true_solidarity,news-uk,1
true_solidarity,news-weathermanipulation,1
true_solidarity,news-weather,1
true_solidarity,news-nwo,1
true_solidarity,news-obama,1
true_solidarity,news-poison,1
true_solidarity,news-snow,1
true_solidarity,news-snowden,1
true_solidarity,news-weathermodification,1
true_solidarity,news-usa,1
true_solidarity,news-truth,1
true_solidarity,news-nsa,1
true_solidarity,news-revolution,1
true_solidarity,news-science,1
true_solidarity,news-tech,1
true_solidarity,news-srm,1
true_solidarity,news-solar,1
true_solidarity,news-usaf,1
true_solidarity,monsanto-sun,1
true_solidarity,monsanto-sunset,1
true_solidarity,monsanto-nexrad,1
true_solidarity,monsanto-uk,1
true_solidarity,monsanto-weathermanipulation,1
true_solidarity,monsanto-weather,1
true_solidarity,monsanto-nasa,1
true_solidarity,monsanto-nwo,1
true_solidarity,monsanto-obama,1
true_solidarity,monsanto-poison,1
true_solidarity,monsanto-news,1
true_solidarity,monsanto-snow,1
true_solidarity,monsanto-snowden,1
true_solidarity,monsanto-weathermodification,1
true_solidarity,monsanto-usa,1
true_solidarity,monsanto-truth,1
true_solidarity,monsanto-nsa,1
true_solidarity,monsanto-revolution,1
true_solidarity,monsanto-science,1
true_solidarity,monsanto-tech,1
true_solidarity,monsanto-srm,1
true_solidarity,monsanto-solar,1
true_solidarity,monsanto-usaf,1
true_solidarity,gmo-sun,2
true_solidarity,gmo-sunset,3
true_solidarity,gmo-haarp,3
true_solidarity,gmo-nexrad,1
true_solidarity,gmo-uk,3
true_solidarity,gmo-weathermanipulation,1
true_solidarity,gmo-weather,3
true_solidarity,gmo-nasa,2
true_solidarity,gmo-nwo,3
true_solidarity,gmo-obama,2
true_solidarity,gmo-poison,1
true_solidarity,gmo-news,1
true_solidarity,gmo-monsanto,1
true_solidarity,gmo-infowars,3
true_solidarity,gmo-snow,3
true_solidarity,gmo-snowden,1
true_solidarity,gmo-weathermodification,3
true_solidarity,gmo-usa,1
true_solidarity,gmo-manmadeclouds,3
true_solidarity,gmo-green,1
true_solidarity,gmo-truth,2
true_solidarity,gmo-nsa,3
true_solidarity,gmo-revolution,2
true_solidarity,gmo-government,1
true_solidarity,gmo-lookup,1
true_solidarity,gmo-science,3
true_solidarity,gmo-tech,3
true_solidarity,gmo-srm,3
true_solidarity,gmo-solar,1
true_solidarity,gmo-usaf,1
true_solidarity,gmo-illuminati,1
true_solidarity,gmo-greatlakes,2
true_solidarity,infowars-sun,2
true_solidarity,infowars-sunset,3
true_solidarity,infowars-nexrad,1
true_solidarity,infowars-uk,3
true_solidarity,infowars-weathermanipulation,1
true_solidarity,infowars-weather,4
true_solidarity,infowars-nasa,2
true_solidarity,infowars-nwo,4
true_solidarity,infowars-obama,2
true_solidarity,infowars-poison,1
true_solidarity,infowars-news,1
true_solidarity,infowars-monsanto,1
true_solidarity,infowars-snow,4
true_solidarity,infowars-snowden,1
true_solidarity,infowars-weathermodification,4
