users;pair;weight
skywatchmap;chemtrails-nwo;3
skywatchmap;chemtrails-illuminati;2
skywatchmap;chemtrails-climatechange;3
skywatchmap;chemtrails-clouds;3
skywatchmap;chemtrails-lookup;6
skywatchmap;chemtrails-government;1
skywatchmap;chemtrails-weathermodification;5
skywatchmap;chemtrails-sheeple;1
skywatchmap;chemtrails-conspiracy;1
skywatchmap;chemtrails-weathermanipulation;4
skywatchmap;chemtrails-horwich;1
skywatchmap;chemtrails-england;1
skywatchmap;geoengineering-wakeup;9
skywatchmap;geoengineering-weather;2
skywatchmap;geoengineering-nexrad;9
skywatchmap;geoengineering-haarp;7
skywatchmap;geoengineering-truth;2
skywatchmap;geoengineering-sky;8
skywatchmap;geoengineering-nwo;3
skywatchmap;geoengineering-illuminati;2
skywatchmap;geoengineering-lookup;6
skywatchmap;geoengineering-government;1
skywatchmap;geoengineering-weathermodification;5
skywatchmap;geoengineering-sheeple;1
skywatchmap;geoengineering-weathermanipulation;4
skywatchmap;geoengineering-horwich;1
skywatchmap;chemtrail-chemtrails;116
skywatchmap;chemtrail-geoengineering;24
skywatchmap;chemtrail-wakeup;9
skywatchmap;chemtrail-weather;2
skywatchmap;chemtrail-nexrad;9
skywatchmap;chemtrail-haarp;7
skywatchmap;chemtrail-truth;2
skywatchmap;chemtrail-sky;8
skywatchmap;chemtrail-contrails;1
skywatchmap;chemtrail-nwo;3
skywatchmap;chemtrail-illuminati;2
skywatchmap;chemtrail-climatechange;3
skywatchmap;chemtrail-clouds;3
skywatchmap;chemtrail-lookup;6
skywatchmap;chemtrail-government;1
skywatchmap;chemtrail-weathermodification;5
skywatchmap;chemtrail-sheeple;1
skywatchmap;chemtrail-conspiracy;1
skywatchmap;chemtrail-weathermanipulation;4
skywatchmap;chemtrail-horwich;1
skywatchmap;chemtrail-england;1
skywatchmap;chemclouds-chemtrails;3
skywatchmap;chemclouds-geoengineering;3
skywatchmap;chemclouds-chemtrail;3
skywatchmap;chemclouds-wakeup;3
skywatchmap;chemclouds-weather;2
skywatchmap;chemclouds-chemhaze;3
skywatchmap;chemclouds-nexrad;3
skywatchmap;chemclouds-haarp;3
skywatchmap;chemclouds-truth;2
skywatchmap;chemclouds-sky;3
skywatchmap;chemclouds-contrails;1
skywatchmap;chemclouds-nwo;3
skywatchmap;chemclouds-illuminati;2
skywatchmap;chemclouds-climatechange;3
skywatchmap;chemclouds-clouds;3
skywatchmap;chemclouds-lookup;3
skywatchmap;chemclouds-government;1
skywatchmap;chemclouds-weathermodification;3
skywatchmap;chemclouds-sheeple;1
skywatchmap;chemclouds-conspiracy;1
skywatchmap;chemclouds-weathermanipulation;3
skywatchmap;chemclouds-horwich;1
skywatchmap;chemclouds-england;1
skywatchmap;wakeup-weather;2
